11000,900,100,10,1,100,8000,1460,10,30
3000,700,700,100,0.98,100,4000,1460,30,30
12000,1000,500,150,0.1,5,9000,700,10,30
32000,400,400,170,0.87,56,3000,500,20,40
13000,2300,200,50,0.08,180,10000,100,30,40
6000,3900,200,400,0.83,106,43000,0,10,140
18000,800,500,140,0.24,33,24000,0,80,20
35000,1300,200,1,0.45,277,33000,450,50,40
32000,71400,1000,230,0.63,688,13000,410,0.04,30
56000,60000,300,130,0.6,3,18000,1000,0.03,60
69000,89300,500,210,0.33,42,47000,920,0.06,70
66000,85200,2900,850,0.97,487,32000,1740,0.04,110
48000,73800,800,460,0.5,10,12000,2210,0.01,80
24000,5400,500,230,0.48,8,5000,1013,0.02,40
24000,4900,500,180,0.38,15,9000,460,0.02,30
8000,2700,800,370,0.78,5,27000,340,0.08,40
