100,10,30,60,8000,1460,66,5,90,100,11000,100,11000,2000,900,60,5000,10,1
100,30,30,30,4000,1460,57,5,90,200,3000,700,11000,115000,700,80,10000,100,0.98
5,10,30,20,9000,700,45,5,130,700,12000,500,20000,144000,1000,40,8000,150,0.1
5,50,30,40,4000,340,44,4,100,200,11000,200,7000,124000,500,100,6000,20,0.5
56,20,40,380,3000,500,76,26,700,700,32000,400,31000,472000,400,140,43000,170,0.87
2,30,30,40,35000,400,155,90,330,400,15000,2200,27000,170000,6500,40,12000,110,0.7
180,30,40,70,10000,100,22,3,200,220,13000,200,8000,120000,2300,20,11000,50,0.08
20,20,20,60,30000,1120,63,18,280,300,9000,200,23000,151000,800,60,19000,80,0.24
2,60,50,140,297000,100,16,140,1600,860,16000,700,51000,127000,7000,60,25000,1820,1.02
2,20,60,90,36000,100,12,100,1000,700,6000,500,34000,193000,1700,160,12000,170,0.14
106,10,140,200,43000,0,20,20,0,1300,6000,200,30000,248000,3900,100,10000,400,0.83
66,10,20,120,652000,1300,33,36,290,290,32000,300,42000,144000,3300,1870,12000,570,0.28
33,80,20,80,24000,0,51,11,280,200,18000,500,28000,147000,800,70,8000,140,0.24
